skip,start_pos(1-indexed),length,coprime,decrypted_or_empty
93,93,140,Y,EBTCDFYGEOEIPQHHIQTLETDZLGPMMDLNFGEHFGDBGETDMUTRTWEEEQVTCSFHNLIGMXCFRUQDMTQMFWYZDZJZRDSRMTTKPUAETDFHTYWKEMNLVZFTDEOTQGZWUOTTNMNDVQSLONAVKLUV
97,97,140,Y,MGNMLEIITWURFMQZDLEHTLSHNTDTNOFRKDETMTFHEDTVRGTDEZFGTUAZFOQLVSYEMNJNUUTLCFADOZLWRQNTDUTLDDZFIMVCPESZMGCHEQTKGQYMQXHKEBTBVWPTMQWEETDDFGOGPYEV
99,99,140,Y,NTGGOZTHTTCZSDMNUMMBYEDRHOMTDQTGLLEDDFDZTQURVTVEIDKKQGDTYUPWSQEDALMVWUFCFWMIZDELNUNMAYRHTZFDEGRETMPHPNTFEBVMTOQZEQNKFGOHCGELQEETJWITTSLLFXFV
101,101,140,Y,MFYIRQTZTDWHVEORUQNHOXUDDWEZITDEMYELGETWEMFLMLQCFOJHMTAMTGNBDUZENSSGKUTMEZHREUPHFMDTMGETCQIVRBQGDQSLPGFNEGFDQWTTVLAFETYZPDTKLDLKFZTTTOVDNNCV
103,103,140,Y,FZEZAMFRTQTDTQNECGEWTLFCODCMUZDEDNEMTQVHQEPTAXFGZTNNTERTPLVZETOKQUIDFUGITUMHYGMHLBDZVGKLYWELWTMHNDRBEOPGEFQRFDETJQLVNWTLSYMDHMTFDOUKIGDTSSMV
107,107,140,Y,FSITQGOKEOVFPMRDTYNLZWFVAQPTQDVRTFEGDODBUDCHOTFLTWELCGNZTBTHTGFHAUEIFUMDSUDKITUZDLTTHEMNSTTGNXLTJEEHFQQMENPEEZRMNDMCWLEWYGKEVQDDLQMRYMMZTZGV
109,109,140,Y,KNSDNOZTDZNKTDAKMDJZFTQFMLFTEWTDGGENMGDLIQEGDBUVOQNTUGOTVMWHTUTRRZYMMUCGNSVETUTBFGLMLTTHPOYCELALVMTWQEFLEYFEPTSZDWQDRXIHCQERMEDHFDPZEQHIEFTV
111,111,140,Y,WXMLASETSWPTYEDLQGKHIGVKVQUZTODMDBEFLNTHDMMEHGDDYZMHUYMMSUCLTDTIOWGCNUFVFLLDTQIWJUETQGEKCDOEFTNREQQZTFVDELTGPQPTTORREEFBTMRNADNZNTEHZZMGFTFV
113,113,140,Y,UYJGMGYDVTQEFQATTWFBEBTKRXTMEQFKMQEHKGFZNEDCNMSFTDELDUQTFQUWTZIDLFNLMUENPNOEFSDLEOWZMUPGVZTDEGHVQDYHGTTTEDCRMOSTPTVHILZHDLTZDMNRRWLIOEAMCGTV
117,117,140,Y,RLCVMNILNQFDCMVTEOEWTGTTMETTGZDLFMEKFYLHMDPELUDKETTRIDHZPZEZEWYMDTTDEUUFKXAGOLSHVSNTNQTEUWZRQUODDEFBVGNHEGWNTDFMTGAZPTTLMQSHRQJIDOYGFFQCMBQV
121,121,140,Y,DDFNDGTGFOTEREHDTTTLOMYELLFZCDTTMLEGUUCBPMFDMQSKFWDVVZVMEESHFFZKMGETTUTHVYQRENNZEGUTRSLCQTIHEOAFGQNHMUTLEWEZKZJTMBORNGYWPXDINDQDIQWMTTALDQPV
123,123,140,Y,ETFDVXFRFZULTQLHTSRZTYDTAFIMDWNDJUETNLELLEEGQDTLZQEIDGMTCWMHFOOCHGFRFUDKWENVYQMBELMZAMQDUOENTQMMSDVWSBPZEUCFYTTTTNDHPGTHQZPKOMKGTDGEITRENGVV
127,127,140,Y,YQTHOQODETMLTMMCJTTBZSKMHUFTEQRGSGEDTLEZTDFTVNMITDVRNXDZDYGWFLFHAGDESUERPMMTIBDLFGQTATPKLZTDCFRZWEUHUWIEEEELQOMMNUNGTZEHDGCVQQPNFWVFYDLKTONV
129,129,140,Y,IGEFRYZVPDTGDDOLEGTHFUFDDTDTMTNTEQEERDWWKQLRMZFTOOPDNWATVFDBCTTLNBTHEUSKULHNTXJHQNEMMLYEDQYZGSQKVMTLFQQREOUHFWCZTGAIMUIZTESGLEFMPZNCEGVDMMTV
131,131,140,Y,JGVEAWEKTQMHFENFEUFWIFMNOSEZPZEVYTERSTIHTMRIAGUGYTFTFBRMFQKZDMTLQQTDNUPEDOMGTGQHTDMTVLDZNWOMTYMDQQTBTXEKEGNCSDDTUZLLENFLWUVDHDGTCOPHZLDRLECV
137,137,140,Y,VWTHNUINEZYRIMAGFBFZTQNEMGTTDWTDTXECDZELVDCHDEJEEQFFFFOZETSHRGYTRQDLTUDGQDVZOYQBEGSTLNWDGOZRCGAKMEEWMSPVETTIUTFMKMQDPOTHMLNMMQTKNDULFUHTPLLV
139,139,140,Y,TUERABTETWTCEDDEFFEHYQTGVYETWOCKESEIFMPHNQNLHLVHIZIGFQMTTXDLCEEFOTRTDUQZQGLDZGMWPTUMQOMMTDFTLWNNYMFZNGDDEZVHJQFZSGRLDDOBSNGRAEMVTTKDTLMKUUPV
